letter,start_position,end_position,blue_motion_type,blue_prop_rot_dir,blue_start_location,blue_end_location,red_motion_type,red_prop_rot_dir,red_start_location,red_end_location
Σ-,beta1,gamma3,pro,cw,n,e,dash,None,n,s
Σ-,beta1,gamma7,pro,ccw,n,w,dash,None,n,s
Σ-,beta2,gamma4,pro,cw,e,s,dash,None,e,w
Σ-,beta2,gamma8,pro,ccw,e,n,dash,None,e,w
Σ-,beta3,gamma1,pro,cw,s,w,dash,None,s,n
Σ-,beta3,gamma5,pro,ccw,s,e,dash,None,s,n
Σ-,beta4,gamma2,pro,cw,w,n,dash,None,w,e
Σ-,beta4,gamma6,pro,ccw,w,s,dash,None,w,e
Σ-,beta1,gamma3,dash,None,n,s,pro,cw,n,e
Σ-,beta1,gamma7,dash,None,n,s,pro,ccw,n,w
Σ-,beta2,gamma4,dash,None,e,w,pro,cw,e,s
Σ-,beta2,gamma8,dash,None,e,w,pro,ccw,e,n
Σ-,beta3,gamma1,dash,None,s,n,pro,cw,s,w
Σ-,beta3,gamma5,dash,None,s,n,pro,ccw,s,e
Σ-,beta4,gamma2,dash,None,w,e,pro,cw,w,n
Σ-,beta4,gamma6,dash,None,w,e,pro,ccw,w,s
